"Source title","CiteScore","Keywords","2020-23 Citations","2020-23 Documents","% Cited","SNIP","SJR","Publisher"
"Artificial Intelligence in Geosciences","4.2","68.0%
51/159
Earth and Planetary Sciences (miscellaneous)","274","66","67","0.744","0.907","KeAi Communications Co."
"Journal of Advances in Information Technology","4.2","57.0%
169/394
Information Systems","1411","335","63","0.434","0.323","Engineering and Technology Publishing"
"APTISI Transactions on Technopreneurship","4.2","76.0%
364/1543
Education","413","98","78","0.357","N/A","Pandawan Sejahtera"
"Argument and Computation","4.1","92.0%
90/1167
Linguistics and Language","195","47","83","1.364","0.579","SAGE"
"Cognitive Science","4.1","60.0%
65/165
Experimental and Cognitive Psychology","1987","483","71","1.299","1.082","John Wiley & Sons"
"Computational Urban Science","4.1","78.0%
61/279
Urban Studies","451","111","65","1.093","0.627","Springer Nature"
"Journal of Fuzzy Extension and Applications","4.1","89.0%
5/41
Logic","464","112","80","0.96","N/A","Research Expansion Alliance (REA)"
"Networks and Spatial Economics","4","53.0%
185/395
Computer Networks and Communications","551","138","70","0.843","0.595","Springer Nature"
"Journal of Pragmatics","3.9","92.0%
86/1088
Language and Linguistics","2812","719","76","1.863","1.105","Elsevier"
"AI Magazine","3.9","46.0%
187/350
Artificial Intelligence","554","142","60","1.318","0.486","John Wiley & Sons"
"IAES International Journal of Artificial Intelligence","3.9","58.0%
134/321
Control and Systems Engineering","2259","585","71","0.8","0.365","Institute of Advanced Engineering and Science"
"Journal of Scheduling","3.8","67.0%
99/307
General Engineering","603","157","73","1.285","0.793","Springer Nature"
"International Journal of Intelligent Robotics and Applications","3.8","49.0%
415/817
Computer Science Applications","662","176","79","0.736","0.592","Springer Nature"
"International Journal of Serious Games","3.8","75.0%
157/635
Applied Mathematics","370","98","100","0.958","0.441","Serious Games Society"
"IFAC Journal of Systems and Control","3.7","61.0%
124/324
Modeling and Simulation","341","91","67","0.872","0.582","Elsevier"
"Biomimetic Intelligence and Robotics","3.7","60.0%
53/133
Computer Science (miscellaneous)","223","60","65","1.244","N/A","Elsevier"
"IET Cyber-systems and Robotics","3.7","65.0%
61/176
Computational Theory and Mathematics","407","109","66","0.698","0.541","John Wiley & Sons"
"Jiqiren/Robot","3.6","72.0%
178/635
Applied Mathematics","924","258","72","0.926","0.309","Chinese Academy of Sciences"
"Journal of Automated Reasoning","3.6","62.0%
67/176
Computational Theory and Mathematics","552","153","70","1.612","0.873","Springer Nature"
"Internet of Things","3.6","60.0%
70/176
Computational Theory and Mathematics","1588","444","52","1.136","1.365","Springer Nature"
"Journal of Financial Data Science","3.6","67.0%
62/189
Business, Management and Accounting (miscellaneous)","491","136","67","1.305","0.854","With intelligence"
"Intelligent Automation and Soft Computing","3.5","59.0%
53/130
Theoretical Computer Science","5439","1560","65","0.613","0.338","Tech Science Press"
"International Journal of Humanoid Robotics","3.5","57.0%
284/672
Mechanical Engineering","350","99","75","0.514","0.376","World Scientific"
"Parallel Computing","3.5","58.0%
54/130
Theoretical Computer Science","600","173","72","0.86","0.46","Elsevier"
"Intelligenza Artificiale","3.5","43.0%
200/350
Artificial Intelligence","190","54","61","0.678","0.679","SAGE"
"Iranian Journal of Fuzzy Systems","3.5","87.0%
49/399
General Mathematics","1053","302","66","0.84","0.433","University of Sistan and Baluchestan"
"Journal of Intelligent and Fuzzy Systems","3.4","76.0%
67/278
Statistics and Probability","17731","5246","63","0.574","0.378","SAGE"
"International Journal of Hybrid Intelligent Systems","3.3","85.0%
14/90
Mathematics (miscellaneous)","175","53","57","0.445","N/A","SAGE"
"Journal of Artificial Intelligence and Consciousness","3.3","53.0%
62/133
Computer Science (miscellaneous)","229","70","60","1.268","N/A","World Scientific"
"Journal of Applied Data Sciences","3.3","55.0%
60/133
Computer Science (miscellaneous)","314","95","66","0.402","0.171","Bright Publisher"
"ROBOMECH Journal","3.2","63.0%
48/130
Control and Optimization","376","117","66","0.703","0.385","Springer Nature"
"Cognitive Processing","3.1","43.0%
93/165
Experimental and Cognitive Psychology","646","208","68","0.856","0.534","Springer Nature"
"Data and Policy","3.1","76.0%
140/604
Social Sciences (miscellaneous)","411","133","62","0.619","0.479","Cambridge University Press"
"Internet Technology Letters","3.1","45.0%
216/395
Computer Networks and Communications","453","147","67","0.297","0.346","John Wiley & Sons"
"Journal of Computational Mathematics and Data Science","3","64.0%
227/635
Applied Mathematics","154","52","62","0.758","N/A","Elsevier"
"Results in Control and Optimization","3","65.0%
222/635
Applied Mathematics","720","237","56","1.252","0.61","Elsevier"
"Journal of Semantics","3","87.0%
145/1167
Linguistics and Language","188","62","81","2.07","1.805","Oxford University Press"
"International Journal of Knowledge and Systems Science","3","50.0%
74/148
Information Systems and Management","198","66","73","0.45","0.317","IGI Global Publishing"
"Annals of Mathematics and Artificial Intelligence","3","64.0%
228/635
Applied Mathematics","530","179","70","0.967","0.411","Springer Nature"
